comida,tipo
Porotos con rienda,legumbres
Garbanzo,legumbres
Fideos con camarones,
Cazuela de carne, sopa
Cazuela de pollo, sopa
Estofado,
Arroz con pollo,
Pollo con ensalada,
Quinoa con pollo,
Quinoa con tipalia,pez
Quinoa con salmon,pez
Arroz con salmon,pez
Arroz con tilapia,pez
Croqueta de atun,
Guiso de zapallo,
Champiñones con huevo,
Porotos con pilco,legumbres
Pure de verduras,
Fideos con zanahoria,
Gohan,
Charquican,
Tomatican,
Tortilla de zanahoria,
Tortilla de atun,
Tortilla de poroto verde,
Pastel de papa,
